,lm_id,name,abbrev
61,LMGL02010164,"DG(20:1(11Z)/20:3(8Z,11Z,14Z)/0:0)[iso2]",DG 40:4
62,LMGL03010022,TG(16:0/16:0/17:1(9Z))[iso3],TG 49:1
63,LMGL03010108,"TG(16:1(9Z)/17:1(9Z)/18:3(9Z,12Z,15Z))[iso6]",TG 51:5
64,LMGL03010165,"TG(17:1(9Z)/18:0/18:2(9Z,12Z))[iso6]",TG 53:3
65,LMGL03010251,"TG(17:2(9Z,12Z)/18:2(9Z,12Z)/18:2(9Z,12Z))[iso3]",TG 53:6
66,LMGL03010193,"TG(16:1(9Z)/18:2(9Z,12Z)/18:3(9Z,12Z,15Z))[iso6]",TG 52:6
67,LMGL03010064,"TG(16:1(9Z)/16:1(9Z)/18:2(9Z,12Z))[iso3]",TG 50:4
68,LMGL03010270,"TG(17:1(9Z)/17:2(9Z,12Z)/20:1(11Z))[iso6]",TG 54:4
69,LMGL03010273,"TG(17:0/17:2(9Z,12Z)/20:2(11Z,14Z))[iso6]",TG 54:4
70,LMGL03010244,"TG(16:0/17:1(9Z)/20:4(5Z,8Z,11Z,14Z))[iso6]",TG 53:5
71,LMGL03010305,TG(17:1(9Z)/18:0/20:1(11Z))[iso6],TG 55:2
72,LMSP0601CZ00,,
73,LMGL03010364,TG(17:0/17:0/21:0)[iso3],TG 55:0
74,LMGL03010288,"TG(18:1(9Z)/18:1(9Z)/18:2(9Z,12Z))[iso3]",TG 54:4
75,LMGL03010285,TG(16:0/16:1(9Z)/22:0)[iso6],TG 54:1
76,LMGL03010247,"TG(16:1(9Z)/16:1(9Z)/20:5(5Z,8Z,11Z,14Z,17Z))[iso3]",TG 52:7
77,LMGL03010202,TG(16:1(9Z)/18:0/20:0)[iso6],TG 54:1
78,LMGL03010654,"TG(17:2(9Z,12Z)/20:1(11Z)/20:1(11Z))[iso3]",TG 57:4
79,LMGL03010575,TG(17:1(9Z)/17:1(9Z)/22:1(13Z))[iso3],TG 56:3
80,LMGL03010682,"TG(17:2(9Z,12Z)/18:2(9Z,12Z)/20:5(5Z,8Z,11Z,14Z,17Z))[iso6]",TG 55:9
81,LMGL03010714,"TG(16:0/17:1(9Z)/22:6(4Z,7Z,10Z,13Z,16Z,19Z))[iso6]",TG 55:7
82,LMGL03010683,"TG(18:0/18:1(9Z)/20:5(5Z,8Z,11Z,14Z,17Z))[iso6]",TG 56:6
83,LMGL03010680,"TG(17:0/19:0/20:5(5Z,8Z,11Z,14Z,17Z))[iso6]",TG 56:5
84,LMGL03010634,TG(17:0/18:0/22:1(13Z))[iso6],TG 57:1
85,LMGL03010608,"TG(18:0/18:2(9Z,12Z)/20:3(8Z,11Z,14Z))[iso6]",TG 56:5
86,LMGL03010597,"TG(16:1(9Z)/20:2(11Z,14Z)/20:2(11Z,14Z))[iso3]",TG 56:5
87,LMGL03010880,"TG(17:1(9Z)/20:1(11Z)/20:5(5Z,8Z,11Z,14Z,17Z))[iso6]",TG 57:7
88,LMGL03010911,"TG(16:0/19:0/22:2(13Z,16Z))[iso6]",TG 57:2
89,LMGL03010868,"TG(18:2(9Z,12Z)/19:0/20:3(8Z,11Z,14Z))[iso6]",TG 57:5
90,LMGL03010767,"TG(16:1(9Z)/18:2(9Z,12Z)/22:3(10Z,13Z,16Z))[iso6]",TG 56:6
91,LMGL03010727,"TG(18:2(9Z,12Z)/18:3(9Z,12Z,15Z)/20:2(11Z,14Z))[iso6]",TG 56:7
92,LMGL03011072,"TG(17:1(9Z)/18:1(9Z)/22:5(7Z,10Z,13Z,16Z,19Z))[iso6]",TG 57:7
93,LMGL03011077,"TG(17:1(9Z)/18:0/22:6(4Z,7Z,10Z,13Z,16Z,19Z))[iso6]",TG 57:7
94,LMGL03011112,"TG(17:1(9Z)/20:2(11Z,14Z)/22:0)[iso6]",TG 59:3
95,LMGL03011176,"TG(17:0/20:5(5Z,8Z,11Z,14Z,17Z)/21:0)[iso6]",TG 58:5
96,LMGL03011033,TG(18:1(9Z)/19:0/21:0)[iso6],TG 58:1
97,LMGL03010982,"TG(18:0/18:1(9Z)/22:3(10Z,13Z,16Z))[iso6]",TG 58:4
98,LMGL03011161,"TG(19:0/20:1(11Z)/20:3(8Z,11Z,14Z))[iso6]",TG 59:4
99,LMGL03011449,"TG(17:2(9Z,12Z)/20:1(11Z)/22:4(7Z,10Z,13Z,16Z))[iso6]",TG 59:7
100,LMGL03011553,TG(18:1(9Z)/21:0/21:0)[iso3],TG 60:1
101,LMGL03011539,"TG(17:0/20:2(11Z,14Z)/22:6(4Z,7Z,10Z,13Z,16Z,19Z))[iso6]",TG 59:8
102,LMGL03011475,"TG(19:0/20:3(8Z,11Z,14Z)/20:5(5Z,8Z,11Z,14Z,17Z))[iso6]",TG 59:8
103,LMGL03011438,"TG(17:0/20:4(5Z,8Z,11Z,14Z)/22:2(13Z,16Z))[iso6]",TG 59:6
104,LMGL03011388,"TG(18:0/18:2(9Z,12Z)/22:6(4Z,7Z,10Z,13Z,16Z,19Z))[iso6]",TG 58:8
105,LMSP0601FR00,,
106,LMGL03011715,"TG(18:2(9Z,12Z)/20:5(5Z,8Z,11Z,14Z,17Z)/22:1(13Z))[iso6]",TG 60:8
107,LMGL03011653,"TG(18:1(9Z)/20:4(5Z,8Z,11Z,14Z)/22:3(10Z,13Z,16Z))[iso6]",TG 60:8
108,LMGL03011558,TG(20:1(11Z)/20:1(11Z)/21:0)[iso3],TG 61:2
109,LMGL03011764,"TG(17:2(9Z,12Z)/20:3(8Z,11Z,14Z)/22:6(4Z,7Z,10Z,13Z,16Z,19Z))[iso6]",TG 59:11
110,LMGL03011874,"TG(19:0/20:3(8Z,11Z,14Z)/22:2(13Z,16Z))[iso6]",TG 61:5
111,LMGL03011784,TG(18:1(9Z)/22:0/22:1(13Z))[iso6],TG 62:2
112,LMGL03011769,"TG(20:3(8Z,11Z,14Z)/20:4(5Z,8Z,11Z,14Z)/20:4(5Z,8Z,11Z,14Z))[iso3]",TG 60:11
113,LMGL03012010,"TG(18:2(9Z,12Z)/21:0/22:4(7Z,10Z,13Z,16Z))[iso6]",TG 61:6
114,LMGL03011997,"TG(18:0/22:3(10Z,13Z,16Z)/22:2(13Z,16Z))[iso6]",TG 62:5
115,LMGL03012240,"TG(20:1(11Z)/20:5(5Z,8Z,11Z,14Z,17Z)/22:5(7Z,10Z,13Z,16Z,19Z))[iso6]",TG 62:11
116,LMGL03012215,"TG(20:2(11Z,14Z)/22:0/22:3(10Z,13Z,16Z))[iso6]",TG 64:5
117,LMGL03012208,"TG(20:5(5Z,8Z,11Z,14Z,17Z)/21:0/22:0)[iso6]",TG 63:5
118,LMGL03012180,"TG(20:0/21:0/22:4(7Z,10Z,13Z,16Z))[iso6]",TG 63:4
119,LMGL03012452,"TG(20:2(11Z,14Z)/22:2(13Z,16Z)/22:5(7Z,10Z,13Z,16Z,19Z))[iso6]",TG 64:9
120,LMGL03012399,"TG(18:1(9Z)/22:6(4Z,7Z,10Z,13Z,16Z,19Z)/22:6(4Z,7Z,10Z,13Z,16Z,19Z))[iso3]",TG 62:13
121,LMGL03012396,"TG(20:3(8Z,11Z,14Z)/22:0/22:5(7Z,10Z,13Z,16Z,19Z))[iso6]",TG 64:8
122,LMGL03012525,"TG(20:4(5Z,8Z,11Z,14Z)/22:2(13Z,16Z)/22:6(4Z,7Z,10Z,13Z,16Z,19Z))[iso6]",TG 64:12
123,LMGL03012491,"TG(22:0/22:3(10Z,13Z,16Z)/22:2(13Z,16Z))[iso6]",TG 66:5
124,LMFA01170033,2Z-Dodecenedioic acid,FA 12:2;O2
125,LMGP02010058,PE(12:0/14:0),PE 26:0
126,LMGP10010023,"PA(16:0/18:2(9Z,12Z))",PA 34:2
127,LMGP02010129,"PE(18:0/20:4(5E,8E,11E,14E))",PE 38:4
128,LMFA01170032,2E-Decenedioic acid,FA 10:2;O2
129,LMFA01170005,"2E,4E,6E,8E-Decatetraenedioic acid",FA 10:5;O2
130,LMST03020040,25-hydroxy-3-deoxy-2-oxavitamin D3 / 25-hydroxy-3-deoxy-2-oxacholecalciferol,
131,LMST03020061,"1alpha,25-dihydroxy-22-oxa-20-epivitamin D3",
132,LMST03020210,24-fluoro-25-hydroxyvitamin D3,
133,LMST03020322,"(22E)-1alpha,25-dihydroxy-22,23-didehydro-24a-homovitamin D3 / (22E)-1alpha,25-dihydroxy-22,23-didehydro-24a-homocholecalciferol",
134,LMST03020346,"1beta,25-dihydroxy-1alpha-methylvitamin D3 / 1beta,25-dihydroxy-1alpha-methylcholecalciferol",
135,LMST03020411,"1alpha,25-dihydroxy-11alpha-[(1R)-oxiranyl]vitamin D3",
136,LMST03020421,"1alpha,25-dihydroxy-24a,24b-dihomovitamin D3 / 1alpha,25-dihydroxy-24a,24b-dihomocholecalciferol",
137,LMST03020379,"1alpha,25-dihydroxy-11beta-methoxyvitamin D3 / 1alpha,25-dihydroxy-11beta-methoxycholecalciferol",
138,LMST03020052,"(5Z)-(3S)-1alpha,25-dihydroxy-3-deoxy-3-thiavitamin D3 3-oxide",
139,LMST03020436,"(20S)-1alpha,20,25-trihydroxy-24a,24b-dihomovitamin D3",
140,LMST03020438,"(22R)-1alpha,22,25-trihydroxy-26,27-dimethyl-20-epivitamin D3 / (22R)-1alpha,22,25-trihydroxy-26,27-dimethyl-20-epicholecalciferol",
141,LMST03020515,"(22S)-1alpha,25-dihydroxy-22-ethoxy-26,27-dimethyl-23,24-tetradehydro-24a-homo-20-epivitamin D3",
142,LMST03020584,"(20S)-20-butyl-1alpha,25-dihydroxy-16,17-didehydro-21-norvitamin D3",
143,LMSP0502BJ00,,
144,LMSP0505EK00,IV 4Galb-nLcOse4,
145,LMSP0506AI00,,
146,LMSP0601GP00,,
147,LMFA02010014,"(1R,2R)-3-oxo-2-pentyl-cyclopentanehexanoic acid",FA 16:2;O
148,LMFA01170059,9-hydroxy-16-oxo-hexadecanoic acid,FA 16:1;O2
149,LMFA02000007,"9R,10S-dihydroxy-stearic acid",FA 18:0;O2
150,LMFA02000004,"18-hydroxy-9S,10R-epoxy-stearic acid",FA 18:1;O2
151,LMPR0102070026,Iridodial glucoside tetraacetate,
152,LMPR0102090009,(-)-Isopiperitenone,
153,LMPR0104540002,Ginkgolide B,
154,LMPR0104170029,Gibberellin A53 aldehyde,
155,LMPR0104170026,Gibberellin A34-catabolite,
156,LMST05010008,"16alpha,17beta-Estriol 16-(beta-D-glucuronide)",ST 18:3;O3;GlcA
157,LMST02020071,,ST 19:3;O3
158,LMST02010031,6beta-Hydroxyestradiol-17beta,ST 18:3;O3
159,LMPR01090007,11-cis-Dehydroretinal,
160,LMFA07060013,Decanoyl-[acp],
161,LMPR01090015,all-trans-retinyl oleate,
162,LMFA01100038,2-amino-4-cyano-butanoic acid,
163,LMST02030096,"4,5alpha-Dihydrocortisone",ST 21:3;O5
164,LMFA01020275,3S-methyl-2-oxo-pentanoic acid,FA 6:1;O
165,LMFA02000039,alpha-9(10)-EpODE,FA 18:3;O
166,LMFA02000037,9(10)-EpOME,FA 18:2;O
167,LMFA04000042,"16,17-DiHDPE",FA 22:5;O2
168,LMST03010068,Suprasterol II,
169,LMPR01070212,Dihydroxyneurosporene/ OH-Chloroxanthin,
170,LMST03020660,"1alpha,25-Dihydroxy-previtamin D3",
171,LMST03020671,1-Hydroxyvitamin D3 3-D-glucopyranoside,
172,LMST03020630,(20R)-24-Hydroxy-19-norgeminivitamin D3,
173,LMGL05030001,S-TGD-1-PA,
174,LMSP03010027,SM(d18:1/25:0),SM 43:1;O2
175,LMST03020681,Ecalcidene,
176,LMGL04010003,SQMG(16:1(11Z)/0:0),LSQMG 16:1
177,LMSP01080056,"N,N-dimethyl-Safingol",
178,LMST01040148,,ST 30:1;O
179,LMGP06050002,PI(16:0/0:0),LPI 16:0
180,LMGP06050001,PI(13:0/0:0),LPI 13:0
181,LMPK12120049,,
182,LMPK12120028,Isoliquiritigenin 4-O-(5'''-O-p-coumaroyl)-apiofuranosyl-(1'''->2''')-glucoside,
183,LMPK12120077,Isobavachromene,
184,LMPK12120092,Paratocarpin A,
185,LMPK12120121,Ammothamnidin,
186,LMPK12120035,Brosimacutin G,
187,LMPK12130031,,
188,LMPK12120161,"Okanin 4'-(3'',4'',6''-triacetylglucoside)",
189,LMPK12120275,Antiarone E,
190,LMPK12120286,Rubone,
191,LMPK12120402,Galiposin,
192,LMPK12120429,Munsericin,
193,LMPK12120446,Confusoside,
194,LMPK12120551,,
195,LMPK12120306,Neosakuranin,
196,LMPK12120512,Uvangoletin,
197,LMPK12140167,,
198,LMPK12140261,Fumotonaringin,
199,LMPK12140386,"Eriodictyol 3',4'-dimethyl ether 5-O-glucoside",
200,LMPK12140220,,
201,LMPK12140449,Homoeriodictyol,
202,LMPR0106010003,Presqualene diphosphate,
203,LMPR0103100001,Bicyclogermacrene,
204,LMPK12140680,Kanakugin,
205,LMPK12140692,Mosloflavanone,
206,LMPR0104140001,(+)-15-Beyerene,
207,LMPK12030006,Theasinensin A,
208,LMPR0103750001,Presilphiperfol-7(8)-ene,
209,LMPR0103490003,(+)-Vulgraon B,
210,LMPR0103190006,"5alpha,10beta-sibirene",
211,LMPR0103090009,germacradienol,
212,LMFA01080010,(R)-2-methoxyhexadecanoic acid,FA 17:0;O
213,LMFA05000089,"octane-1,2-diol",FOH 8:0;O
214,LMST02030145,Aldosterone hemiacetal,ST 21:4;O5
215,LMPK13090042,"4,4'-dihydroxybibenzyl",
216,LMPK13090039,Lunularin,
217,LMPK13090037,Glepidotin C,
218,LMPR0103650003,vetispiradiene,
219,LMPR01090051,1-O-all-trans-retinoyl-beta-glucuronic acid,
220,LMFA05000097,"(3Z,6Z,9Z)-dodecatrienol",FOH 12:3
221,LMPR0104170037,gibberellin A2 O-beta-D-glucoside,
222,LMST01010178,"(25R)-11alpha,20,26-trihydroxyecdysone",ST 27:2;O9
223,LMST01020033,lanosteryl palmitoleate,
224,LMST01031011,ergosteryl palmitoleate,
225,LMFA00000009,N-(6-aminohexanoyl)-6-aminohexanoic acid,
226,LMST01100011,cycloeucalenol,ST 30:2;O
227,LMPR0103010012,"(2-trans,6-trans)-farnesal",
228,LMPR0103190014,(+)-beta-selinene,
229,LMST05010032,11-Oxo-androsterone glucuronide,ST 19:2;O3;GlcA
230,LMST02030201,Ethyltestosterone,ST 21:2;O2
231,LMST02020101,7a-Hydroxydehydroepiandrosterone,ST 19:2;O3
232,LMST01010234,,ST 28:2;O2
233,LMPK12110150,Chrysin 7-rutinoside,
234,LMST02030199,,ST 21:2;O4
235,LMPK12110229,Schaftoside 6''-O-glucoside,
236,LMPK12110306,Schaftoside 4'-O-glucoside,
237,LMPK12110320,Isovitexin 7-O-arabinoside 2''-O-glucoside,
238,LMPK12110323,Rhamnellaflavoside A,
239,LMPK12110324,Rhamnellaflavoside C,
240,LMPK12110099,Primuletin,
241,LMPK12110330,Isovitexin 2''-O-(6'''-(E)-feruloyl)glucoside 4'-O-glucoside,
242,LMPK12110375,Apigenin 7-(6''-acetylglucoside),
243,LMPK12110346,Apigenin 7-(6''-methylglucuronide),
244,LMPK12110399,Apigenin 7-(3''-p-coumaroylglucoside),
245,LMPK12110248,Flavosativaside,
246,LMPK12110430,6-Chloroapigenin,
247,LMPK12110492,Orientin 2''-O-beta-arabinopyranoside,
248,LMPK12110568,Quercetin 3-(2'''-galloylglucosyl)-(1->2)-alpha-L-arabinofuranoside,
249,LMPK12110624,,
250,LMPK12110638,Luteolin 5-galactoside,
251,LMPK12110576,Isorhamnetin 3-glucoside,
252,LMPK12110641,Luteolin 7-rhamnoside,
253,LMPK12110645,Luteolin 7-galacturonide,
254,LMPK12110777,Luteolin 3'-methyl ether 7-allosyl-(1->2)-glucoside,
255,LMPK12110797,Ciliatin B,
256,LMPK12110817,Luteolin 4'-methyl ether 7-(4G-rhamnosylneohesperidoside),
257,LMPK12110882,Isoetin 7-glucoside,
258,LMPK12110704,Luteolin 3'-(4''-acetylglucuronide),
259,LMPK12110770,Luteolin 3'-methyl ether 7-glucoside,
260,LMPK12110963,Luteorin 5-methyl ether 3'-glucoside,
261,LMPK12110964,,
262,LMPK12110970,Isomolludistin,
263,LMPK12110866,Tricin 7-rutinoside,
264,LMPK12110961,Luteolin 5-methyl ether 7-glucoside,
265,LMPK12110989,Isoswertisin 2''-O-glucoside,
266,LMPK12110879,Apometzgerin,
267,LMPK12111006,Isoswertisin 5-O-glucoside,
268,LMPK12111109,Scutellarein 7-glucoside,
269,LMPK12111023,Embinin,
270,LMPK12111037,6-C-Rhamnopyranosylrhamnetin 3-O-glucopyranoside,
271,LMPK12111060,Linoside A,
272,LMPK12110935,Cycloaltilisin,
273,LMPK12111219,6-Hydroxyluteolin 6-glucoside-7-[6'''-(3-hydroxy-3-methylglutaryl)glucoside],
274,LMPK12111185,6-Hydroxyluteolin 7-galactoside,
275,LMPK12111202,"6-Hydroxyluteolin 6,3'-dimethyl ether 7-glucoside",
276,LMPK12111275,Umuhengerin,
277,LMPK12111421,,
278,LMPK12111422,,
279,LMPK12111456,,
280,LMPK12111356,Isoscutellarein 4'-methyl ether 8-(2''-sulfatoglucoside),
281,LMPK12111351,8-Hydroxyapigenin 7-glucosyl-(1->2)-xyloside,
282,LMPK12111557,Fisetin 7-glucoside,
283,LMPK12111594,,
284,LMPK12111606,Transilitin,
285,LMPK12111620,Datiscin,
286,LMPK12111640,,
287,LMPK12111685,Robinin,
288,LMPK12111882,Kaempferol 3-(2''-p-coumaryl-alpha-L-arabinopyranoside),
289,LMPK12111906,Artabotryside B,
290,LMPK12111791,Tiliroside,
291,LMPK12112051,"Quercetin 3,5-digalactoside",
292,LMPK12112086,Isoquercitrin,
293,LMPK12112104,"Quercetin 3,4'-diglucoside",
294,LMPK12112140,Quercetin 3-(2''-galloylglucoside),
295,LMPK12112303,,
296,LMPK12112241,Quercetin 3-glucosyl-(1->2)-galactosyl-(1->2)-glucoside,
297,LMPK12112362,Isorhamnetin 3-glucuronide,
298,LMPK12112395,Dorsmanin D,
299,LMPK12112512,Chrysosplenoside A,
300,LMPK12112463,Myricetin 3-(2''-acetylrhamnoside),
301,LMPK12112436,Myricitrin,
302,LMPK12112470,Laricitrin 3-galactoside,
303,LMPK12112576,Rhamnocitrin 5-glucoside,
304,LMPK12112592,"Kaempferol 7,4'-dimethyl ether 3-(6''-(E)-p-coumarylglucoside)",
305,LMPK12112679,"8-C-Methylvellokaempferol 3,5-dimethyl ether",
306,LMPK12112750,,
307,LMPK12112807,,
308,LMPK12112736,"Quercetin 3,3'-dimethyl ether 7-rutinoside",
309,LMPK12112887,Patuletin-3-robinobioside,
310,LMPK12112842,Pendulin,
311,LMPK12112925,Eupatolin,
312,LMPK12113022,,
313,LMPK12113028,Patuletin 3-O-sulfate,
314,LMPK12112947,Patuletin 3-rhamnoside-7-(3'''-acetylrhamnoside),
315,LMPK12113073,,
316,LMPK12113122,Herbacetin 8-glucuronide,
317,LMPK12113166,Herbacetin 8-butyrate,
318,LMPK12113209,Limocitrin 3-rhamnoside,
319,LMPK12113110,Sexangularetin 3-rutinoside,
320,LMPK12113125,Herbacetin 7-glucosyl-(1->3)-rhamnoside,
321,LMPK12113119,Herbacetin 8-xyloside,
322,LMPK12113185,Corniculatusin 3-glucoside,
323,LMPK12113176,Ranupenin 3-galactoside-8-glucoside,
324,LMPK12113281,,
325,LMPK12113291,,
326,LMPK12010049,Monodemalonylmonardaein,
327,LMPK12020022,,
328,LMPK12010032,,
329,LMPK12010077,,
330,LMPK12020024,"(2R,3R)-3,5,7,3',5'-Pentahydroxyflavan",
331,LMPK12113353,,
332,LMPK12020072,Pilosanol B,
333,LMPK12020071,Pilosanol A,
334,LMPK12020050,Catechin 3-O-beta-D-glucopyranoside,
335,LMPK12020051,Epicatechin 3-O-beta-D-glucopyranoside,
336,LMPK12020239,"7,3'-Dihydroxy-4'-methoxy-8-methylflavan",
337,LMPK12020230,,
338,LMPK12020178,Fisetinidol-4beta-ol,
339,LMPK12050033,Corylin,
340,LMPK12050061,Isojamaicin,
341,LMPK12050092,,
342,LMPK12050002,,
343,LMPK12050028,Durlettone,
344,LMPK12050159,,
345,LMPK12050284,Lupinisoflavone N,
346,LMPK12050158,,
347,LMPK12050270,Pumilaisoflavone C,
348,LMPK12050074,Glabrone,
349,LMPK12050171,Genistein 4'-O-neohesperidoside,
350,LMPK12050338,5-O-Methylgenistein,
351,LMPK12050384,Irisolidone,
352,LMPK12050415,Irigenin 7-O-glucoside,
353,LMPK12050394,Iristectorigenin A 7-O-glucoside,
354,LMPK12050434,,
355,LMPK12070066,,
356,LMPK12070005,Medicarpin 3-O-glucoside,
357,LMPK12070045,Neorautenane,
358,LMPK12080068,"6,7,3'-Trihydroxy-2',4'-dimethoxyisoflavene",
359,LMPK12070120,Sphenostylin C,
360,LMFA01050388,2-ethyl-hydracrylic acid,FA 5:0;O
361,LMPK12070086,Melilotocarpan C,
362,LMPK12060045,,
363,LMPK12100027,,
364,LMPK12100020,Mammea A/BA,
365,LMPK12100011,Kuhlmannin,
366,LMFA01170119,Methylsuccinic acid,FA 5:1;O2
367,LMPK12100056,,
368,LMPK12010141,,
369,LMPK12010128,,
370,LMPK12010115,,
371,LMPK12010154,,
372,LMPK12010133,Ophrysanin,
373,LMPK12010265,,
374,LMPK12010281,Delhpinidin 3-neohesperidoside,
375,LMPK12010126,,
376,LMPK12010355,,
377,LMPK12010357,,
378,LMSP0502AG03,,Hex(5)-HexNAc(2)-Cer 38:1;O2
379,LMSP0502AL05,,Hex(4)-Cer 42:1;O2
380,LMSP0502AO02,,Hex(4)-Cer 36:1;O2
381,LMSP0502BH07,,Hex(3)-HexNAc(2)-Fuc-Cer 42:2;O2
382,LMSP0502BL01,,Hex(4)-HexNAc(2)-Cer 34:1;O2
383,LMSP0503AC04,,Hex(3)-HexNAc(2)-Cer 40:1;O2
384,LMSP0503AM07,,Hex(4)-HexNAc(2)-Cer 42:2;O2
385,LMSP0504AB06,iso-LM1(d18:1/26:0),Hex(3)-HexNAc-Cer 44:1;O2
386,LMSP0504AI03,Leb(d18:1/20:0),Hex(3)-HexNAc-Fuc(2)-Cer 38:1;O2
387,LMSP0504AJ01,,Hex(3)-HexNAc(2)-Cer 34:1;O2
388,LMSP0504AO04,,Hex(4)-HexNAc(3)-Cer 40:1;O2
389,LMSP0504AU02,Ley-A-9(d18:1/18:0),Hex(4)-HexNAc(2)-Fuc(3)-Cer 36:1;O2
390,LMSP0504AX07,,Hex(4)-HexNAc(3)-Fuc-Cer 42:2;O2
391,LMSP0504BA05,,Hex(5)-HexNAc(3)-Fuc-Cer 42:1;O2
392,LMSP0504BG08,,Hex(5)-HexNAc(4)-Fuc-Cer 44:2;O2
393,LMSP0504BJ07,,Hex(5)-HexNAc(4)-Fuc-Cer 42:2;O2
394,LMPK12020037,ent-Epiafzelechin,
395,LMSP0504BR08,VI3(Galb 1-4GlcNAcb )-Lc4Cer(d18:1/26:1(17Z)),Hex(4)-HexNAc(2)-Cer 44:2;O2
396,LMSP0505CN01,,Hex(3)-HexNAc(2)-Fuc(2)-Cer 34:1;O2
397,LMSP0505CN07,,Hex(3)-HexNAc(2)-Fuc(2)-Cer 42:2;O2
398,LMSP0505CR02,,Hex(5)-HexNAc(5)-Fuc(2)-Cer 36:1;O2
399,LMSP0505CS01,,Hex(5)-HexNAc(3)-Fuc-Cer 34:1;O2
400,LMSP0506AW03,,
401,LMSP0506AW05,,
402,LMSP0506BC08,,
403,LMSP0506BH04,,
404,LMSP0505AA08,nLc4Cer(d18:1/26:1(17Z)),Hex(3)-HexNAc-Cer 44:2;O2
405,LMSP0505AU04,dimeric Lex(d18:1/22:0),Hex(4)-HexNAc(2)-Fuc(2)-Cer 40:1;O2
406,LMSP0505AU07,dimeric Lex(d18:1/24:1(15Z)),Hex(4)-HexNAc(2)-Fuc(2)-Cer 42:2;O2
